"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"1","Switzerland","","Strength","-","66.6"
"2","Sweden","","Strength","-","61.4"
"3","United Kingdom","","Strength","-","61.2"
"4","Netherlands","","Strength","-","61.1"
"5","United States of America","","","-","60.3"
"6","Finland","","","-","59.5"
"7","Hong Kong (China)","","","-","59.4"
"8","Singapore","","","-","59.4"
"9","Denmark","","","-","58.3"
"10","Ireland","","","-","57.9"
"11","Canada","","","-","57.6"
"12","Luxembourg","","","-","56.6"
"13","Iceland","","","-","56.4"
"14","Israel","","","-","56.0"
"15","Germany","","","-","55.8"
"16","Norway","","","-","55.6"
"17","New Zealand","","","-","54.5"
"18","Korea, Republic of","","","-","53.3"
"19","Australia","","","-","53.1"
"20","France","","","-","52.8"
"21","Belgium","","","-","52.5"
"22","Japan","","","-","52.2"
"23","Austria","","","-","51.9"
"24","Malta","","","-","51.8"
"25","Estonia","","","-","50.6"
"26","Spain","","","-","49.4"
"27","Cyprus","","","-","49.3"
"28","Czech Republic","","","-","48.4"
"29","Italy","","","-","47.8"
"30","Slovenia","","","-","47.3"
"31","Hungary","","","-","46.9"
"32","Malaysia","","","-","46.9"
"33","Latvia","","","-","45.2"
"34","Portugal","","","-","45.1"
"35","China","","","-","44.7"
"36","Slovakia","","","-","42.2"
"37","Croatia","","","-","41.9"
"38","United Arab Emirates","","","-","41.9"
"39","Costa Rica","","","-","41.5"
"40","Lithuania","","","-","41.4"
"41","Bulgaria","","","-","41.3"
"42","Saudi Arabia","","","-","41.2"
"43","Qatar","","","-","41.0"
"44","Montenegro","","","-","41.0"
"45","Moldova, Republic of","","","-","40.9"
"46","Chile","","","-","40.6"
"47","Barbados","","","-","40.5"
"48","Romania","","","-","40.3"
"49","Poland","","","-","40.1"
"50","Kuwait","","","-","40.0"
"51","The Former Yugoslav Republic (FYR) of Macedonia","","","-","38.2"
"52","Uruguay","","","-","38.1"
"53","Mauritius","","","-","38.0"
"54","Serbia","","","-","37.9"
"55","Greece","","","-","37.7"
"56","Argentina","","","-","37.7"
"57","Thailand","","","-","37.6"
"58","South Africa","","","-","37.6"
"59","Armenia","","","-","37.6"
"60","Colombia","","","-","37.4"
"61","Jordan","","","-","37.3"
"62","Russian Federation","","","-","37.2"
"63","Mexico","","","-","36.8"
"64","Brazil","","","-","36.3"
"65","Bosnia and Herzegovina","","","-","36.2"
"66","India","","","-","36.2"
"67","Bahrain","","","-","36.1"
"68","Turkey","","","-","36.0"
"69","Peru","","","-","36.0"
"70","Tunisia","","","-","35.8"
"71","Ukraine","","","-","35.8"
"72","Mongolia","","","-","35.8"
"73","Georgia","","","-","35.6"
"74","Brunei Darussalam","","","-","35.5"
"75","Lebanon","","","-","35.5"
"76","Viet Nam","","","-","34.8"
"77","Belarus","","","-","34.6"
"78","Guyana","","","-","34.4"
"79","Dominican Republic","","","-","33.3"
"80","Oman","","","-","33.3"
"81","Trinidad and Tobago","","","-","33.2"
"82","Jamaica","","","-","32.9"
"83","Ecuador","","","-","32.8"
"84","Kazakhstan","","","-","32.7"
"85","Indonesia","","","-","32.0"
"86","Panama","","","-","31.8"
"87","Guatemala","","","-","31.5"
"88","El Salvador","","","-","31.3"
"89","Uganda","","","-","31.2"
"90","Philippines","","","-","31.2"
"91","Botswana","","","-","31.1"
"92","Morocco","","","-","30.9"
"93","Albania","","","-","30.9"
"94","Ghana","","","-","30.6"
"95","Bolivia, Plurinational State of","","","-","30.5"
"96","Senegal","","","-","30.5"
"97","Fiji","","","-","30.5"
"98","Sri Lanka","","","-","30.4"
"99","Kenya","","","-","30.3"
"100","Paraguay","","","-","30.3"
"101","Tajikistan","","","-","30.0"
"102","Belize","","","-","30.0"
"103","Cape Verde","","","-","29.7"
"104","Swaziland","","","-","29.6"
"105","Azerbaijan","","","-","29.0"
"106","Mali","","","-","28.8"
"107","Honduras","","","-","28.8"
"108","Egypt","","","-","28.5"
"109","Namibia","","","-","28.4"
"110","Cambodia","","","-","28.1"
"111","Gabon","","","-","28.0"
"112","Rwanda","","","-","27.6"
"113","Iran, Islamic Republic of","","","-","27.3"
"114","Venezuela, Bolivarian Republic of","","","-","27.3"
"115","Nicaragua","","","-","27.1"
"116","Burkina Faso","","","-","27.0"
"117","Kyrgyzstan","","","-","27.0"
"118","Zambia","","","-","26.8"
"119","Malawi","","","-","26.7"
"120","Nigeria","","","-","26.6"
"121","Mozambique","","","-","26.5"
"122","Gambia","","","-","26.4"
"123","Tanzania, United Republic of","","","-","26.4"
"124","Lesotho","","","-","26.3"
"125","Cameroon","","","-","25.7"
"126","Guinea","","","-","25.7"
"127","Benin","","","-","25.1"
"128","Nepal","","","-","25.0"
"129","Ethiopia","","","-","24.8"
"130","Bangladesh","","","-","24.5"
"131","Niger","","","-","24.0"
"132","Zimbabwe","","Weakness","-","24.0"
"133","Uzbekistan","","Weakness","-","23.9"
"134","Syrian Arab Republic","","","-","23.7"
"135","Angola","","","-","23.5"
"136","Cote dIvoire","","Weakness","-","23.4"
"137","Pakistan","","Weakness","-","23.3"
"138","Algeria","","Weakness","-","23.1"
"139","Togo","","Weakness","-","23.0"
"140","Madagascar","","Weakness","-","22.9"
"141","Sudan","","Weakness","-","19.8"
"142","Yemen","","Weakness","-","19.3"
